date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix
1931-04-01,USA,,,,,,,,5.596907,,,
1931-05-01,Canada,,6.557809,,,,,,,,,
1931-05-01,USA,,,,,,,,5.51701,,,
1931-06-01,Canada,,6.478799,,,,,,,,,
1931-06-01,USA,,,,,,,,5.383685,,,
1931-07-01,Canada,,6.399789,,,,,,,,,
1931-07-01,USA,,,,,,,,5.303788,,,
1931-08-01,Canada,,6.478799,,,,,,,,,
1931-08-01,USA,,,,,,,,5.117132,,,
1931-09-01,Canada,,6.399789,,,,,,,,,
1931-09-01,USA,,,,,,,,4.877344,,,
1931-10-01,Canada,,6.24177,,,,,,,,,
1931-10-01,USA,,,,,,,,4.690787,,,
1931-11-01,Canada,,6.24177,,,,,,,,,
1931-11-01,USA,,,,,,,,4.637457,,,
1931-12-01,Canada,,6.24177,,,,,,,,,
1931-12-01,USA,,,,,,,,4.610792,,,
1932-01-01,Canada,,6.16276,,,,,,,,,
1932-01-01,USA,,,,,,,,4.477565,,,
1932-02-01,Canada,,6.004741,,,,,,,,,
1932-02-01,USA,,,,,,,,4.370904,,,
1932-03-01,Canada,,6.004741,,,,,,,,,
1932-03-01,USA,,,,,,,,4.317574,,,
1932-04-01,Canada,,6.004741,,,,,,,,,
1932-04-01,USA,,,,,,,,4.024456,,,
1932-05-01,Canada,,5.846721,,,,,,,,,
1932-05-01,USA,,,,,,,,3.891229,,,
1932-06-01,Canada,,5.846721,,,,,,,,,
1932-06-01,USA,,,,,,,,3.757903,,,
1932-07-01,Canada,,5.846721,,,,,,,,,
1932-07-01,USA,,,,,,,,3.651342,,,
1932-08-01,Canada,,5.846721,,,,,,,,,
1932-08-01,USA,,,,,,,,3.757903,,,
1932-09-01,Canada,,5.846721,,,,,,,,,
1932-09-01,USA,,,,,,,,3.997791,,,
1932-10-01,Canada,,5.767711,,,,,,,,,
1932-10-01,USA,,,,,,,,4.131017,,,
1932-11-01,Canada,,5.767711,,,,,,,,,
1932-11-01,USA,,,,,,,,4.131017,,,
1932-12-01,Canada,,5.767711,,,,,,,,,
1932-12-01,USA,,,,,,,,4.051121,,,
1933-01-01,Canada,,5.688701999999999,,,,,,,,,
1933-01-01,USA,,,,,,,,3.971125,,,
1933-02-01,Canada,,5.688701999999999,,,,,,,,,
1933-02-01,USA,,,,,,,,3.997791,,,
1933-03-01,Canada,,5.609692,,,,,,,,,
1933-03-01,USA,,,,,,,,3.757903,,,
1933-04-01,Canada,,5.609692,,,,,,,,,
1933-04-01,USA,,,,,,,,4.024456,,,
1933-05-01,Canada,,5.609692,,,,,,,,,
1933-05-01,USA,,,,,,,,4.690787,,,
1933-06-01,Canada,,5.609692,,,,,,,,,
1933-06-01,USA,,,,,,,,5.41035,,,
1933-07-01,Canada,,5.609692,,,,,,,,,
1933-07-01,USA,,,,,,,,5.91669,,,
1933-08-01,Canada,,5.688701999999999,,,,,,,,,
1933-08-01,USA,,,,,,,,5.676902,,,
1933-09-01,Canada,,5.688701999999999,,,,,,,,,
1933-09-01,USA,,,,,,,,5.357019,,,
1933-10-01,Canada,,5.609692,,,,,,,,,
1933-10-01,USA,,,,,,,,5.090566,,,
1933-11-01,Canada,,5.609692,,,,,,,,,
1933-11-01,USA,,,,,,,,4.797348,,,
1933-12-01,Canada,,5.609692,,,,,,,,,
1933-12-01,USA,,,,,,,,4.824014,,,
1934-01-01,Canada,,5.688701999999999,,,,,,,,,
1934-01-01,USA,,,,,,,,4.983905,,,
1934-02-01,Canada,,5.688701999999999,,,,,,,,,
1934-02-01,USA,,,,,,,,5.223793,,,
1934-03-01,Canada,,5.767711,,,,,,,,,
1934-03-01,USA,,,,,,,,5.46368,,,
1934-04-01,Canada,,5.767711,,,,,,,,,
1934-04-01,USA,,,,,,,,5.46368,,,
1934-05-01,Canada,,5.688701999999999,,,,,,,,,
1934-05-01,USA,,,,,,,,5.570241,,,
1934-06-01,Canada,,5.688701999999999,,,,,,,,,
1934-06-01,USA,,,,,,,,5.46368,,,
1934-07-01,Canada,,5.688701999999999,,,,,,,,,
1934-07-01,USA,,,,,,,,5.090566,,,
1934-08-01,Canada,,5.688701999999999,,,,,,,,,
1934-08-01,USA,,,,,,,,5.037236,,,
1934-09-01,Canada,,5.688701999999999,,,,,,,,,
1934-09-01,USA,,,,,,,,4.744018,,,
1934-10-01,Canada,,5.688701999999999,,,,,,,,,
